Redshift g-r g-i g-z g-w1 g-w2 r-i r-z r-w1 r-w2 i-z i-w1 i-w2 z-w1 z-w2 w1-w2
0.01 0.03649840481777389 -0.19196932499518482 -0.13410151722956876 5.177780550427466 6.248449125002944 -0.2284677298129587 -0.17059992204734264 5.141282145609692 6.21195072018517 0.057867807765616064 5.3697498754226505 6.440418449998129 5.311882067657034 6.382550642232513 1.0706685745754783
0.02 0.02956097562031701 -0.1991559212590559 -0.15043187451865947 5.1540149195252205 6.224435552365582 -0.2287168968793729 -0.17999285013897648 5.1244539439049035 6.194874576745265 0.04872404674039643 5.353170840784276 6.423591473624638 5.30444679404388 6.374867426884242 1.0704206328403618
0.03 0.020340780479557452 -0.20381011550777117 -0.16598548902426913 5.131623070271491 6.201958631932683 -0.22415089598732862 -0.18632626950382658 5.111282289791934 6.181617851453126 0.037824626483502044 5.335433185779262 6.4057687474404545 5.29760855929576 6.3679441209569525 1.0703355616611923
0.04 0.011870100546936158 -0.20582478077304955 -0.1809212711300603 5.108815478656329 6.178149156119712 -0.2176948813199857 -0.19279137167699645 5.0969453781093925 6.166279055572776 0.024903509642989263 5.314640259429378 6.383973936892762 5.289736749786389 6.3590704272497725 1.0693336774633835
0.05 -0.0010149745001477584 -0.20427095244164306 -0.1955501516235323 5.085013248759651 6.156532574433722 -0.2032559779414953 -0.19453517712338453 5.086028223259799 6.15754754893387 0.008720800818110774 5.289284201201294 6.360803526875365 5.280563400383183 6.3520827260572545 1.0715193256740712
0.06 -0.014473297075394242 -0.19358994215902214 -0.20968196409137363 5.062093373932834 6.134623135171957 -0.1791166450836279 -0.1952086670159794 5.076566671008228 6.149096432247351 -0.016092021932351486 5.255683316091856 6.328213077330979 5.271775338024208 6.34430509926333 1.0725297612391227
0.07 -0.03455838438076242 -0.17546571325014781 -0.22303352781166552 5.038015396921056 6.112199220041386 -0.1409073288693854 -0.1884751434309031 5.072573781301818 6.146757604422149 -0.04756781456151771 5.2134811101712035 6.287664933291534 5.261048924732721 6.335232747853052 1.0741838231203307
0.08 -0.059875926541387514 -0.15109978700676407 -0.234260451089515 5.016728220204106 6.092567648125236 -0.09122386046537656 -0.17438452454812747 5.076604146745494 6.1524435746666235 -0.08316066408275091 5.16782800721087 6.243667435132 5.250988671293621 6.326828099214751 1.0758394279211299
0.09 -0.08886992409400207 -0.12109296352776866 -0.2450386209299431 4.9949966833386945 6.071842520127566 -0.03222303943376659 -0.15616869683594103 5.083866607432697 6.160712444221568 -0.12394565740217445 5.116089646866463 6.192935483655335 5.240035304268638 6.316881141057509 1.0768458367888716
0.1 -0.12365270895040936 -0.09022259118797749 -0.2537370122572824 4.9745671356845875 6.05497870603914 0.03343011776243188 -0.13008430330687304 5.098219844634997 6.17863141498955 -0.16351442106930492 5.064789726872565 6.145201297227118 5.22830414794187 6.308715718296423 1.0804115703545527
0.11 -0.15309560004924094 -0.059751450697895336 -0.2550356139819385 4.96179863691756 6.0446685201161685 0.0933441493513456 -0.10194001393269758 5.114894236966801 6.1977641201654095 -0.1952841632840432 5.021550087615456 6.104419970814064 5.216834250899499 6.299704134098107 1.082869883198608
